ID	MRF_flow_1_1_S17_L007.profile	MRF_flow_1_3_S19_L007.profile	MRF_flow_2_1_S21_L007.profile	MRF_flow_2_2_S23_L007.profile	MRF_flow_2_3_S25_L007.profile	MRF_flow_3_2_S27_L007.profile	MRF_pod_1_1_S28_L007.profile	MRF_pod_2_1_S29_L007.profile	MRF_pod_2_2_S18_L007.profile	MRF_senesc_1_2_S20_L007.profile	MRF_senesc_1_3_S22_L007.profile	MRF_senesc_2_3_S24_L007.profile	MRF_senesc_3_1_S26_L007.profile	MRF_senesc_3_2_S37_L008.profile	MRF_senesc_3_3_S39_L008.profile	MRF_V2_1_1_S41_L008.profile	MRF_V2_1_2_S43_L008.profile	MRF_V2_1_3_S31_L008.profile	MRF_V2_2_1_S33_L008.profile	MRF_V2_2_3_S35_L008.profile	MRF_V2_3_3_S36_L008.profile	MRF_V5_1_1_S38_L008.profile	MRF_V5_1_2_S40_L008.profile	MRF_V5_2_2_S42_L008.profile	MRF_V5_2_3_S30_L008.profile	MRF_V5_3_1_S32_L008.profile	MRF_V5_3_2_S34_L008.profile
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriales_noname	0.27045	0.75245	0.09545	0.4141	0.5096	1.21984	0.32184	0.8854	0.92218	0.70525	0.79707	0.55798	0.693	0.49111	1.46624	0.45117	0.24841	0.80629	0.32565	0.43645	0.04855	0.76083	0.85975	0.12612	0.41257	0.23019	0.59184
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriales_noname|g__Niastella	0.27045	0.75245	0.09545	0.4141	0.5096	1.21984	0.32184	0.8854	0.92218	0.70525	0.79707	0.55798	0.693	0.49111	1.46624	0.45117	0.24841	0.80629	0.32565	0.43645	0.04855	0.76083	0.85975	0.12612	0.41257	0.23019	0.59184
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriales_noname|g__Niastella|s__Niastella_koreensis	0.27045	0.75245	0.09545	0.4141	0.5096	1.21984	0.32184	0.8854	0.92218	0.70525	0.79707	0.55798	0.693	0.49111	1.46624	0.45117	0.24841	0.80629	0.32565	0.43645	0.04855	0.76083	0.85975	0.12612	0.41257	0.23019	0.59184
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriales_noname|g__Niastella|s__Niastella_koreensis|t__GCF_000246855	0.27045	0.75245	0.09545	0.4141	0.5096	1.21984	0.32184	0.8854	0.92218	0.70525	0.79707	0.55798	0.693	0.49111	1.46624	0.45117	0.24841	0.80629	0.32565	0.43645	0.04855	0.76083	0.85975	0.12612	0.41257	0.23019	0.59184
k__Bacteria|p__Cyanobacteria	0.0	0.0	0.74025	0.0	0.0	0.0	0.0	0.0	0.0	0.30731	0.0	1.39903	0.0	0.59491	0.56829	0.21762	0.0	0.0	0.0	0.0	0.0	0.0	0.2617	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname	0.0	0.0	0.74025	0.0	0.0	0.0	0.0	0.0	0.0	0.30731	0.0	1.39903	0.0	0.59491	0.56829	0.21762	0.0	0.0	0.0	0.0	0.0	0.0	0.2617	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales	0.0	0.0	0.74025	0.0	0.0	0.0	0.0	0.0	0.0	0.30731	0.0	1.39903	0.0	0.59491	0.56829	0.21762	0.0	0.0	0.0	0.0	0.0	0.0	0.2617	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname	0.0	0.0	0.74025	0.0	0.0	0.0	0.0	0.0	0.0	0.30731	0.0	1.39903	0.0	0.59491	0.56829	0.21762	0.0	0.0	0.0	0.0	0.0	0.0	0.2617	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname|g__Microcoleus	0.0	0.0	0.74025	0.0	0.0	0.0	0.0	0.0	0.0	0.20681	0.0	1.29971	0.0	0.59491	0.56829	0.21762	0.0	0.0	0.0	0.0	0.0	0.0	0.2617	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname|g__Microcoleus|s__Microcoleus_unclassified	0.0	0.0	0.74025	0.0	0.0	0.0	0.0	0.0	0.0	0.19045	0.0	1.09586	0.0	0.59491	0.56829	0.21762	0.0	0.0	0.0	0.0	0.0	0.0	0.2617	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname|g__Microcoleus|s__Microcoleus_vaginatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01636	0.0	0.20385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname|g__Microcoleus|s__Microcoleus_vaginatus|t__GCF_000214075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01636	0.0	0.20385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname|g__Oscillatoria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10051	0.0	0.09931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname|g__Oscillatoria|s__Oscillatoria_nigro_viridis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname|g__Oscillatoria|s__Oscillatoria_nigro_viridis|t__GCF_000317475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales|f__Oscillatoriales_noname|g__Oscillatoria|s__Oscillatoria_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Deinococcus_Thermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71233	0.0	0.0	0.61861	0.69762	0.0	0.0	0.0	0.0	0.0	0.34302
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71233	0.0	0.0	0.61861	0.69762	0.0	0.0	0.0	0.0	0.0	0.34302
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71233	0.0	0.0	0.61861	0.69762	0.0	0.0	0.0	0.0	0.0	0.34302
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71233	0.0	0.0	0.61861	0.0	0.0	0.0	0.0	0.0	0.0	0.34302
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71233	0.0	0.0	0.61861	0.0	0.0	0.0	0.0	0.0	0.0	0.34302
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71233	0.0	0.0	0.61861	0.0	0.0	0.0	0.0	0.0	0.0	0.34302
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcales_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69762	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.11779	0.0	0.16571	0.09289	0.0	0.0	0.0	0.0	0.0	0.07009	0.0	0.0	0.43059	0.0	0.2572	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.11779	0.0	0.16571	0.09289	0.0	0.0	0.0	0.0	0.0	0.07009	0.0	0.0	0.43059	0.0	0.2572	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.11779	0.0	0.16571	0.09289	0.0	0.0	0.0	0.0	0.0	0.07009	0.0	0.0	0.43059	0.0	0.2572	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.11779	0.0	0.16571	0.09289	0.0	0.0	0.0	0.0	0.0	0.07009	0.0	0.0	0.43059	0.0	0.2572	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.11779	0.0	0.16571	0.09289	0.0	0.0	0.0	0.0	0.0	0.07009	0.0	0.0	0.43059	0.0	0.2572	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_megaterium	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.11779	0.0	0.16571	0.09289	0.0	0.0	0.0	0.0	0.0	0.07009	0.0	0.0	0.43059	0.0	0.2572	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_megaterium|t__Bacillus_megaterium_unclassified	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.11779	0.0	0.16571	0.09289	0.0	0.0	0.0	0.0	0.0	0.07009	0.0	0.0	0.43059	0.0	0.2572	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	72.77587	73.55015	72.31802	70.17503	64.89623	57.65312	67.10281	78.10933	66.16302	63.38416	75.94819	70.55797	66.89523	76.46304	60.40851	59.3418	57.88277	58.06477	69.84559	58.46994	61.25834	67.57516	68.00434	62.61743	65.4834	48.5208	67.36617
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	43.27519	46.0606	43.80385	38.17508	34.25284	34.9103	35.84997	33.21767	33.37725	31.5366	39.01614	46.21473	29.3942	57.23128	38.92431	30.40192	32.47043	30.22795	39.12282	29.06648	39.85111	40.41134	40.0224	49.17877	39.67177	29.75198	35.51601
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	11.7669	4.29529	7.08307	6.2817	3.89124	3.41202	4.61728	7.85346	8.45044	6.79943	9.82501	6.34979	6.34435	5.25231	2.91097	3.32554	3.09079	6.42121	5.1387	3.66187	4.62541	2.37849	3.64604	2.6762	2.61264	5.63944	7.89603
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	11.7669	4.29529	7.08307	6.2817	3.89124	3.41202	4.61728	7.85346	8.45044	6.79943	9.82501	6.34979	6.34435	5.25231	2.91097	3.32554	3.09079	6.42121	5.1387	3.66187	4.62541	2.37849	3.64604	2.6762	2.61264	5.63944	7.89603
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Asticcacaulis	0.95317	0.0	0.0	0.78047	0.0	0.0	0.0	0.0	0.0	1.1323	1.52176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70042	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Asticcacaulis|s__Asticcacaulis_unclassified	0.95317	0.0	0.0	0.78047	0.0	0.0	0.0	0.0	0.0	1.1323	1.52176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70042	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas	0.33559	0.0	0.71011	0.0	0.0	0.58292	0.0	0.50977	0.16441	0.0	0.0	0.0	0.29129	0.0	0.27179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_unclassified	0.33559	0.0	0.71011	0.0	0.0	0.58292	0.0	0.50977	0.16441	0.0	0.0	0.0	0.29129	0.0	0.27179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter	10.47814	4.29529	6.37295	5.50123	3.89124	2.8291	4.61728	7.34369	8.28603	5.66713	8.30324	6.34979	6.05306	5.25231	2.63918	3.32554	3.09079	6.42121	5.1387	2.96144	4.62541	2.37849	3.64604	2.6762	2.61264	5.63944	7.89603
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_unclassified	10.2305	4.29529	6.2399	3.63558	3.53431	2.4157	4.49694	6.2118	7.55532	3.89543	7.35388	2.44662	4.61767	5.25231	1.38015	2.85724	2.66194	3.31924	4.77376	1.65579	4.62541	1.47133	2.99372	2.3778	2.51979	4.89693	7.30827
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_vibrioides	0.24764	0.0	0.13306	1.86565	0.35693	0.4134	0.12034	1.13189	0.73071	1.7717	0.94936	3.90317	1.43539	0.0	1.25903	0.4683	0.42885	3.10197	0.36494	1.30565	0.0	0.90716	0.65232	0.2984	0.09284	0.74251	0.58776
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_vibrioides|t__Caulobacter_vibrioides_unclassified	0.24764	0.0	0.13306	1.86565	0.35693	0.4134	0.12034	1.13189	0.73071	1.7717	0.94936	3.90317	1.43539	0.0	1.25903	0.4683	0.42885	3.10197	0.36494	1.30565	0.0	0.90716	0.65232	0.2984	0.09284	0.74251	0.58776
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	31.28446	41.7653	36.72078	31.89338	30.36161	31.49828	30.78447	25.34159	24.57154	24.73717	28.67245	39.34311	22.82848	51.97896	36.01334	26.92833	28.78079	23.80675	33.49253	25.23175	35.2257	37.27976	36.37635	46.02925	36.72385	24.11255	27.61998
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31842	0.0	0.0	0.0	0.0	0.0	0.28235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Beijerinckiaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31842	0.0	0.0	0.0	0.0	0.0	0.28235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae	7.25315	11.52644	13.04624	13.91792	8.41351	12.05268	11.61878	3.41923	8.14603	4.21964	4.4576	3.4051	5.63097	7.32778	11.50807	10.85592	12.96442	8.06958	16.31755	9.20344	16.62779	15.72566	15.87536	5.62393	13.335	10.49399	9.26457
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia	0.23542	1.06262	0.74316	0.38328	0.49285	1.58941	0.0	0.0	1.61145	0.0	0.0	0.0	0.0	0.95997	0.38248	1.35946	0.80176	1.52951	1.40741	0.41272	1.60921	0.77333	0.0	0.77915	0.40332	1.63618	0.73412
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia|s__Afipia_unclassified	0.23542	1.06262	0.74316	0.38328	0.49285	1.58941	0.0	0.0	1.61145	0.0	0.0	0.0	0.0	0.95997	0.38248	1.35946	0.80176	1.52951	1.40741	0.41272	1.60921	0.77333	0.0	0.77915	0.40332	1.63618	0.73412
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium	1.44907	2.31639	2.51228	2.32859	2.66386	3.71316	2.36689	2.53495	2.65961	2.49757	2.60868	1.9085	3.15419	1.44636	2.68159	2.39802	2.50113	2.58733	3.41916	1.87615	2.48866	2.1076	1.87306	2.37303	1.71325	1.66251	2.35942
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_diazoefficiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_diazoefficiens|t__GCF_000011365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_japonicum	1.44907	2.31639	2.51228	2.32859	2.66386	3.71316	2.36689	2.53495	2.65961	2.49757	2.57802	1.9085	3.15419	1.44636	2.68159	2.39802	2.50113	2.58733	3.41916	1.87615	2.48866	2.1076	1.87306	2.37303	1.71325	1.66251	2.35942
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_japonicum|t__Bradyrhizobium_japonicum_unclassified	1.44907	2.31639	2.51228	2.32859	2.66386	3.71316	2.36689	2.53495	2.65961	2.49757	2.57802	1.9085	3.15419	1.44636	2.68159	2.39802	2.50113	2.58733	3.41916	1.87615	2.48866	2.1076	1.87306	2.37303	1.71325	1.66251	2.35942
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Nitrobacter	0.48812	0.58826	0.5324	0.50879	0.35842	0.50419	0.20791	0.09587	0.29988	0.46018	0.40731	0.34096	0.372	0.14424	0.74403	0.74763	0.44938	0.48632	0.58254	0.36974	0.542	0.69193	0.68171	0.32999	0.44959	0.29077	0.25628
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Nitrobacter|s__Nitrobacter_hamburgensis	0.0	0.0	0.0	0.06933	0.0	0.0	0.0	0.0	0.1488	0.0	0.0	0.0	0.0	0.0	0.02419	0.29123	0.0	0.0	0.0	0.08423	0.0	0.04827	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Nitrobacter|s__Nitrobacter_hamburgensis|t__GCF_000013885	0.0	0.0	0.0	0.06933	0.0	0.0	0.0	0.0	0.1488	0.0	0.0	0.0	0.0	0.0	0.02419	0.29123	0.0	0.0	0.0	0.08423	0.0	0.04827	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Nitrobacter|s__Nitrobacter_unclassified	0.48812	0.58826	0.5324	0.43946	0.35842	0.50419	0.20791	0.09587	0.15108	0.46018	0.40731	0.34096	0.372	0.14424	0.71984	0.4564	0.44938	0.48632	0.58254	0.28551	0.542	0.64366	0.68171	0.32999	0.44959	0.29077	0.25628
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas	5.08054	7.55917	9.2584	10.69726	4.89837	6.24592	9.04399	0.78841	3.57509	1.26189	1.44161	1.15564	2.10478	4.77721	7.69997	6.35081	9.21215	3.46642	10.90845	6.54483	11.98791	12.1528	13.32059	2.14175	10.76884	6.90452	5.91475
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_palustris	4.06797	4.29452	4.20791	5.20458	4.2901	4.68393	4.97998	0.78841	3.57509	0.96539	1.44161	1.15564	2.10478	3.6786	7.26842	6.03056	6.07099	3.46642	6.92866	6.54483	6.6672	5.59245	7.06613	2.14175	3.24572	3.36223	5.24205
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_palustris|t__Rhodopseudomonas_palustris_unclassified	4.06797	4.29452	4.20791	5.20458	4.2901	4.68393	4.97998	0.78841	3.57509	0.96539	1.44161	1.15564	2.10478	3.6786	7.26842	6.03056	6.07099	3.46642	6.92866	6.54483	6.6672	5.59245	7.06613	2.14175	3.24572	3.36223	5.24205
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_unclassified	1.01257	3.26465	5.05049	5.49268	0.60827	1.56198	4.06401	0.0	0.0	0.2965	0.0	0.0	0.0	1.0986	0.43155	0.32025	3.14116	0.0	3.97979	0.0	5.32071	6.56035	6.25446	0.0	7.52312	3.54229	0.67269
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae	11.7896	16.62775	9.39947	5.43013	7.10429	9.51162	6.35662	4.5767	8.20521	4.5833	7.45058	4.71524	4.0077	4.61631	12.62793	7.8292	8.72901	7.86894	7.36998	8.122	8.96779	10.48728	8.86122	5.4097	10.58277	6.00834	7.20584
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobiaceae_unclassified	5.73762	8.88442	3.81701	1.46616	3.38869	4.40656	3.1371	0.0	4.19922	0.0	2.91746	1.34567	0.18499	1.20013	7.5893	2.51117	2.97327	4.10294	3.56987	2.26675	2.79324	3.95478	4.42658	2.90007	3.12044	2.18448	3.63771
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium	6.05198	7.74333	5.58246	3.96396	3.7156	5.10506	3.21952	4.5767	4.00599	4.5833	4.53312	3.36958	3.82271	3.41618	5.03863	5.31803	5.75575	3.76599	3.80012	5.85525	6.17454	6.5325	4.43464	2.50963	7.46233	3.82386	3.56813
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium|s__Hyphomicrobium_denitrificans	0.0	0.0	0.0	0.04264	0.0	0.0	0.0	0.0	0.08384	0.0	0.0	0.02834	0.0	0.0	0.0	0.03251	0.0	0.0	0.0	0.09443	0.0676	0.0	0.0	0.01529	0.09138	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium|s__Hyphomicrobium_denitrificans|t__Hyphomicrobium_denitrificans_unclassified	0.0	0.0	0.0	0.04264	0.0	0.0	0.0	0.0	0.08384	0.0	0.0	0.02834	0.0	0.0	0.0	0.03251	0.0	0.0	0.0	0.09443	0.0676	0.0	0.0	0.01529	0.09138	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium|s__Hyphomicrobium_unclassified	6.05198	7.74333	5.58246	3.92132	3.7156	5.10506	3.21952	4.5767	3.92215	4.5833	4.53312	3.34123	3.82271	3.41618	5.03863	5.28552	5.75575	3.76599	3.80012	5.76082	6.10694	6.5325	4.43464	2.49434	7.37095	3.82386	3.56813
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49566	0.04324	0.0224	0.0	0.0	0.61045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49566	0.04324	0.0224	0.0	0.0	0.61045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_extorquens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49566	0.04324	0.0224	0.0	0.0	0.61045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_extorquens|t__Methylobacterium_extorquens_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49566	0.04324	0.0224	0.0	0.0	0.61045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
